cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
844a005f-471c-45d5-86de-956951d6b7d1	TCGA-A6-6782-01A	TCGA-A6-6782	d1878265-460d-4768-a67d-73d8d5a315b7.FPKM.txt.gz	17bf3ae9-b6a0-4535-afd7-2534e18afd7a
801b8d05-2d29-4f8c-8d8d-634b2e21b867	TCGA-G4-6307-01A	TCGA-G4-6307	eb799eef-5506-4935-9649-c543a1d1bbd5.FPKM-UQ.txt.gz	9dca573a-342a-486b-8206-c8b2e36579db
0bf53b2c-319a-4657-901f-a2182af61352	TCGA-G4-6299-01A	TCGA-G4-6299	bd2b70a7-7a80-4ede-833e-ed6365552684.FPKM-UQ.txt.gz	b718d57f-3041-438e-802e-4c8d5f919c23
5c7de7c6-7a72-4185-a72c-1d25d4ab07fe	TCGA-A6-2683-11A	TCGA-A6-2683	99b406a3-0ef1-4486-99a5-22a751aa5e1d.FPKM-UQ.txt.gz	852a47bc-bac6-4229-89a7-bfd8d54ffe9c
6605cdbc-a37f-4a41-a4b5-42708e5076a3	TCGA-CK-6751-01A	TCGA-CK-6751	2328d034-7b9b-442a-ad5d-ad56d9c83d1d.htseq.counts.gz	0b0677ec-0f18-43a3-bceb-e6ee4a39dd65
a34342d8-c1b5-4043-aaad-23d2c63a5241	TCGA-AA-3712-01A	TCGA-AA-3712	fda5b844-1fa4-462e-bd3b-482025f6ee30.htseq.counts.gz	d1d03184-55ca-470a-9877-33393721b50c
e9ac4856-032e-401f-b3e6-54e7f796faa4	TCGA-NH-A8F7-01A	TCGA-NH-A8F7	f38b2f21-c5a5-4699-9727-eae9c96aac55.FPKM.txt.gz	56fd109b-8e3a-4eec-86fa-d18f48eaed02
1dc340a0-b8d0-47b3-b87b-d5546e6ee77e	TCGA-D5-7000-01A	TCGA-D5-7000	d23905fa-4722-4c97-8b75-ea8ae67faf40.FPKM-UQ.txt.gz	5d77f292-1f5b-41ea-9216-852a1ad32e72
418736a4-00d2-406b-a625-0d15726713ca	TCGA-DM-A28F-01A	TCGA-DM-A28F	31ce5f7c-5f1d-4e54-9343-5e9b57f5ed10.FPKM-UQ.txt.gz	0dda48db-a6fc-47d1-93b8-6d2bff9881cf
9c11c1d9-288d-4928-8d0d-aefbf063bc3d	TCGA-DC-4749-01A	TCGA-DC-4749	15bb9c50-e4bb-4433-a9dd-32ddd6536b49.htseq.counts.gz	51abe362-e3ff-4604-8cf1-5197c4783fc5
